,Factor_1_CONSISTENCY,Factor_2_RACECRAFT,Factor_3_RAW_SPEED,Factor_4_TIRE_MGMT,Factor_5_RESIDUAL,R2
barber_r1,4.277849316298667,1.1922418027893666,5.618239506141678,2.073864082850694,-0.48561291373768095,0.9798632757183882
barber_r2,4.160272102154864,1.2574875694910714,5.03264807295835,2.002258909639731,0.14799645821086127,0.9803504322701796
cota_r1,4.376578144646727,1.6356822879950754,6.8733647870681995,1.8932684326639997,-1.4820499696974516,0.9819907981402219
cota_r2,7.823428046832812,1.159756862014417,4.39281453512663,4.377433313010279,-3.2353530226575806,0.9876368728944038
roadamerica_r1,9.941508168653938,-1.0769442116933936,6.366533099571918,5.586118000341007,-2.249686551568602,0.9802236322977289
roadamerica_r2,2.1863666681520812,0.3070636902746404,4.088597324605272,5.264926223217942,-4.683626479364646,0.9461129940037474
sebring_r1,3.998503829012915,1.7179036865125057,6.486105389635922,0.9246916561135636,-0.3235276952748971,0.9973719240985484
sebring_r2,3.7386315828779315,0.9069747983993393,7.0784118148249,1.5100167073786281,-2.5037122585680613,0.9972491876840347
sonoma_r1,4.8083003345660655,2.643486881266934,6.657925990720498,1.3373135899933521,-1.3461369080117636,0.9761043585602859
sonoma_r2,6.375701457974647,2.3577136722825998,5.747184462595566,2.5814874365568854,0.3150869800007803,0.9892695823246954
vir_r1,9.072663680922128,1.264871859749093,5.192379283658622,-0.18662638134710274,-1.3039497671032128,0.9374883785358142
vir_r2,4.272519770068145,0.8513428432849759,3.9292977376863654,2.470461483910685,-1.4376190698961064,0.9789684779855321
