driver_number,actual_position,baseline_prediction,enhanced_prediction,baseline_error,enhanced_error,baseline_abs_error,enhanced_abs_error
18,23.833333333333332,27.17277693661486,27.047683949149683,-3.339443603281527,-3.2143506158163504,3.339443603281527,3.2143506158163504
11,22.5,19.78885665760574,20.204720192978137,2.7111433423942586,2.2952798070218634,2.7111433423942586,2.2952798070218634
14,18.0,15.417708999380043,16.891225353121328,2.582291000619957,1.1087746468786719,2.582291000619957,1.1087746468786719
73,23.5,20.97154263264162,23.434230903017806,2.5284573673583814,0.06576909698219424,2.5284573673583814,0.06576909698219424
80,22.857142857142858,25.151407648682515,24.574254070123686,-2.294264791539657,-1.7171112129808286,2.294264791539657,1.7171112129808286
16,9.75,7.533123347398197,8.002704474503243,2.216876652601803,1.7472955254967566,2.216876652601803,1.7472955254967566
17,17.5,15.310645087602973,16.44099613523081,2.189354912397027,1.0590038647691884,2.189354912397027,1.0590038647691884
57,24.0,26.181170757187978,25.031586820184963,-2.181170757187978,-1.0315868201849625,2.181170757187978,1.0315868201849625
12,22.4,24.441484279285948,23.41415895827282,-2.0414842792859496,-1.014158958272823,2.0414842792859496,1.014158958272823
5,16.22222222222222,14.260555957472228,17.9456609048941,1.9616662647499936,-1.7234386826718797,1.9616662647499936,1.7234386826718797
55,7.1,8.713608835836975,7.92693430412708,-1.6136088358369758,-0.8269343041270805,1.6136088358369758,0.8269343041270805
93,18.571428571428573,16.96268683929882,17.388931484612286,1.6087417321297544,1.1824970868162872,1.6087417321297544,1.1824970868162872
78,13.333333333333334,11.760371670817442,12.734146334944608,1.5729616625158922,0.5991869983887259,1.5729616625158922,0.5991869983887259
3,15.8,14.262169593667032,14.056085312221324,1.5378304063329686,1.7439146877786769,1.5378304063329686,1.7439146877786769
98,9.0,10.461990350769288,10.777861133476762,-1.4619903507692875,-1.7778611334767618,1.4619903507692875,1.7778611334767618
7,5.0,6.412936409520772,5.792605879954493,-1.4129364095207722,-0.7926058799544933,1.4129364095207722,0.7926058799544933
46,5.428571428571429,6.749429701032095,6.964648511754376,-1.320858272460666,-1.5360770831829473,1.320858272460666,1.5360770831829473
47,9.375,10.53338447843944,10.66592991967509,-1.1583844784394408,-1.29092991967509,1.1583844784394408,1.29092991967509
72,5.7,6.825866163745291,6.1404333949754815,-1.1258661637452905,-0.4404333949754813,1.1258661637452905,0.4404333949754813
50,9.0,7.964284338877396,10.853176984712277,1.0357156611226044,-1.8531769847122774,1.0357156611226044,1.8531769847122774
21,11.0,12.026964052575368,11.874728056533002,-1.0269640525753676,-0.8747280565330016,1.0269640525753676,0.8747280565330016
2,8.555555555555555,9.443397225043881,8.512268812445374,-0.887841669488326,0.04328674311018155,0.887841669488326,0.04328674311018155
13,3.1,3.968089071929427,3.1431690498731335,-0.8680890719294267,-0.043169049873133414,0.8680890719294267,0.043169049873133414
113,14.5,15.354573373622175,15.204606945020586,-0.8545733736221752,-0.7046069450205863,0.8545733736221752,0.7046069450205863
51,21.0,20.160972074819576,20.625705196623,0.8390279251804245,0.3742948033770013,0.8390279251804245,0.3742948033770013
86,22.0,21.361506542983626,20.75795149819337,0.6384934570163736,1.2420485018066287,0.6384934570163736,1.2420485018066287
8,23.75,23.150265536057756,22.30322000235177,0.5997344639422444,1.4467799976482283,0.5997344639422444,1.4467799976482283
41,13.714285714285714,13.116487705740926,11.963753103717174,0.5977980085447872,1.7505326105685395,0.5977980085447872,1.7505326105685395
15,16.833333333333332,17.205545511880324,16.831288081606917,-0.3722121785469916,0.0020452517264146763,0.3722121785469916,0.0020452517264146763
88,12.7,12.404706844016596,12.550972025479815,0.2952931559834031,0.1490279745201839,0.2952931559834031,0.1490279745201839
71,8.714285714285714,9.00632473144035,7.402275159393795,-0.29203901715463587,1.312010554891918,0.29203901715463587,1.312010554891918
89,15.714285714285714,15.905765346743,14.656366957618275,-0.19147963245728583,1.0579187566674388,0.19147963245728583,1.0579187566674388
31,13.777777777777779,13.601169526555484,13.49596498235585,0.1766082512222944,0.28181279542192783,0.1766082512222944,0.28181279542192783
